term	warmth	competence	sociability	trust
performing arts	0.917	0.242	0.917	0.519
permanent resident	0.524	0.434	0.524	0.364
perp walk	-0.815	-0.038	-0.815	-0.636
personal assistant	0.833	0.300	0.833	0.758
personal best	0.704	0.538	0.704	0.636
personal care	0.917	0.290	0.917	0.583
personal day	0.667	0.100	0.667	0.133
personal foul	-0.633	0.038	-0.571	-0.633
personal income	0.212	0.500	0.000	0.212
personal injury	-0.630	-0.188	-0.630	0.000
personal life	0.857	0.300	0.857	0.133
personal relationship	1.000	0.656	1.000	0.697
personal space	-0.267	-0.094	-0.267	0.182
personal trainer	0.889	0.484	0.889	0.600
personality disorder	-0.792	-0.344	-0.792	-0.727
pet food	0.810	0.094	0.810	0.259
pet peeve	-0.542	-0.344	-0.542	0.000
pet shop	0.571	0.104	0.571	0.545
petri dish	-0.524	0.094	-0.524	0.083
phase me	-0.033	-0.104	0.000	-0.033
phase out	-0.292	-0.286	-0.292	0.061
phone back	0.429	-0.138	0.429	0.111
phone in	-0.306	-0.022	0.056	-0.306
phone service	-0.429	0.226	-0.429	0.400
phone sex	-0.741	-0.296	-0.583	-0.741
phone system	-0.667	0.130	-0.667	0.233
photo album	0.958	-0.034	0.958	0.121
photo booth	0.583	0.224	0.583	0.083
photo shoot	0.875	0.134	0.875	0.121
physical body	0.233	0.296	0.000	0.233
physical fitness	0.606	0.380	0.458	0.606
pick apart	-0.667	-0.038	-0.667	-0.455
pick at	-0.542	-0.154	-0.542	-0.424
pick of	0.042	0.020	0.000	0.042
pick off	-0.533	-0.142	-0.533	-0.296
pick on	-0.704	0.222	-0.704	-0.583
pick up	0.857	0.130	0.857	0.121
picket line	0.429	0.172	0.429	-0.152
picture show	0.625	0.148	0.625	0.083
pie hole	-0.542	-0.172	-0.542	-0.515
pied piper	0.708	-0.194	0.708	-0.542
pile on	-0.182	-0.256	0.143	-0.182
pilot program	0.639	0.250	0.078	0.639
pilot project	0.633	0.464	0.167	0.633
pin down	-0.333	-0.178	-0.333	0.152
pin on	-0.143	-0.200	-0.143	0.111
pinch hit	0.458	-0.234	0.458	-0.030
pine tar	-0.375	-0.052	-0.375	0.056
pipe down	-0.417	-0.206	-0.417	0.030
pipe in	0.190	-0.194	0.190	-0.148
piss off	-1.000	-0.264	-1.000	-0.697
pissed off	-0.917	-0.066	-0.917	-0.472
pissing contest	-0.741	-0.136	-0.741	-0.733
pit bull	-0.242	-0.032	-0.111	-0.242
pit stop	0.125	-0.334	0.125	0.000
pitch black	-0.792	-0.194	-0.792	0.152
pizza dough	0.429	0.034	0.429	0.121
pizza oven	0.429	-0.034	0.429	0.091
pizza place	0.619	-0.104	0.619	0.472
pizza topping	0.917	0.000	0.917	0.167
plan ahead	0.788	0.276	0.583	0.788
plan on	0.458	0.434	0.417	0.458
plane crash	-0.762	-0.224	-0.762	-0.042
plane ticket	0.292	0.344	0.292	0.182
plastic bag	-0.121	-0.038	-0.042	-0.121
plastic surgery	-0.625	0.172	-0.625	0.091
platinum blonde	0.333	0.310	0.333	0.061
play about	0.286	-0.130	0.286	0.091
play around	0.667	0.000	0.667	-0.333
play at	-0.233	0.148	0.000	-0.233
play ball	0.500	0.034	0.500	0.091
play baseball	0.762	0.172	0.762	0.111
play date	0.926	-0.162	0.926	0.167
play dead	-0.524	-0.466	-0.524	0.042
play dumb	-0.485	-0.322	-0.333	-0.485
play fair	0.926	0.120	0.875	0.926
play football	1.000	0.068	1.000	0.000
play for	0.667	0.234	0.667	0.000
play in	0.524	0.182	0.524	0.000
play music	0.875	0.188	0.875	0.208
play on	0.333	0.400	0.333	0.056
play out	0.033	-0.130	0.000	0.033
play tennis	0.875	0.308	0.875	0.000
play to	0.333	0.148	0.333	0.061
playing cards	0.667	0.322	0.667	0.000
plead guilty	-0.333	-0.162	-0.292	-0.333
pleasantly surprised	1.000	0.162	1.000	0.091
please with	0.810	0.032	0.810	0.593
pleased with	1.000	0.142	1.000	0.185
plug into	0.190	-0.066	0.190	0.030
pocket knife	-0.375	-0.414	-0.375	0.278
pocket money	0.611	-0.322	0.611	0.061
poetic justice	0.833	0.250	0.833	0.545
point break	0.167	0.072	0.167	0.000
point guard	0.429	0.466	0.429	0.152
point system	0.233	0.344	-0.042	0.233
poison ivy	-0.875	-0.572	-0.875	-0.444
poke at	-0.625	-0.068	-0.625	-0.222
poke fun	-0.417	0.112	-0.417	-0.222
poker face	-0.556	-0.034	-0.542	-0.556
polar bear	-0.133	-0.134	-0.133	0.000
police academy	0.667	0.538	-0.444	0.667
police state	-0.810	0.242	-0.810	-0.750
political hack	-0.933	0.214	-0.571	-0.933
political science	0.083	0.434	0.000	0.083
political system	-0.370	0.464	0.000	-0.370
politically correct	0.242	0.172	-0.222	0.242
politically incorrect	-0.722	0.000	-0.722	-0.333
ponzi scheme	-1.000	0.038	-1.000	-1.000
poor boy	0.714	-0.770	0.714	0.212
poor children	0.905	-0.434	0.905	0.000
poor countries	0.400	-0.600	0.400	0.000
poor health	0.250	-0.656	0.250	-0.100
poor man	0.381	-0.516	0.381	0.000
poor people	0.833	-0.448	0.833	0.111
poor performance	-0.667	-0.292	-0.667	-0.639
poor person	0.519	-0.646	0.519	-0.067
poor quality	-0.815	-0.534	-0.583	-0.815
poor service	-0.708	-0.572	-0.708	-0.700
poor thing	0.750	-0.712	0.750	-0.111
poor women	0.333	-0.774	0.333	-0.061
pop music	0.741	0.000	0.741	0.061
pop out	0.250	-0.200	0.250	-0.091
pop star	0.762	0.444	0.762	0.061
pop up	0.292	0.000	0.292	0.056
popular culture	0.714	0.258	0.714	0.121
popular music	0.708	0.166	0.708	0.167
popular vote	0.958	0.534	0.958	0.515
pork belly	0.167	-0.148	0.167	0.030
pork chop	0.185	-0.226	0.185	0.167
porn star	-0.667	-0.032	-0.593	-0.667
positive feedback	0.958	0.678	0.958	0.933
post partum	0.222	-0.172	0.222	-0.033
postpartum depression	-0.500	-0.214	-0.500	-0.091
pot on	0.042	-0.218	0.000	0.042
potty mouth	-0.667	-0.148	-0.667	-0.639
pound cake	0.917	-0.096	0.917	0.067
pound sand	-0.619	-0.108	-0.619	-0.583
pour out	0.944	-0.096	0.944	0.100
poverty level	-0.250	-0.482	-0.250	-0.148
poverty line	0.222	-0.344	0.222	-0.182
powder blue	0.095	-0.040	0.095	0.061
power broker	-0.444	0.166	-0.375	-0.444
power company	0.500	0.380	-0.208	0.500
power couple	0.917	0.400	0.917	0.528
power forward	0.296	0.482	0.296	0.212
power generation	0.256	0.758	0.000	0.256
power nap	0.190	-0.032	0.190	0.033
power off	-0.429	-0.240	-0.429	-0.152
power outage	-0.286	-0.214	-0.286	-0.111
power plant	0.636	0.312	-0.083	0.636
power point	-0.148	0.218	-0.148	0.083
power ranger	0.583	0.482	0.583	0.028
power source	0.152	0.730	0.000	0.152
power struggle	-0.667	0.148	-0.667	-0.389
power up	0.152	0.500	0.000	0.152
prank call	-0.697	-0.154	-0.667	-0.697
pregnancy test	0.611	0.188	0.250	0.611
premier league	0.519	0.586	0.519	0.273
prepare for	0.333	0.310	0.333	0.152
prescription drug	0.576	0.000	0.083	0.576
present day	0.194	0.500	0.125	0.194
present moment	0.485	0.234	0.190	0.485
present tense	0.000	0.298	0.000	0.000
present with	0.333	0.172	0.333	0.167
press charges	-0.722	-0.062	-0.722	0.333
press corps	0.361	-0.104	-0.042	0.361
pressure cooker	-0.333	0.066	-0.333	-0.083
pretend to	-0.636	0.114	-0.458	-0.636
pretty boy	0.476	0.172	0.476	-0.061
pretty clear	0.606	0.032	0.476	0.606
pretty girl	0.704	-0.080	0.704	0.212
pretty good	0.542	0.310	0.542	0.485
pretty much	0.286	-0.066	0.286	0.061
pretty penny	0.125	0.000	0.125	-0.042
pretty sure	0.593	0.344	0.333	0.593
prey on	-1.000	0.162	-0.875	-1.000
price range	0.051	0.138	0.048	0.051
primary care	0.952	0.300	0.952	0.818
primary school	0.952	-0.134	0.952	0.722
primary source	0.733	0.242	0.000	0.733
prime minister	0.556	0.444	0.556	0.556
prime time	0.476	0.236	0.476	0.182
prince charming	0.952	0.250	0.952	0.545
print shop	0.111	-0.034	0.000	0.111
prison break	-0.818	-0.166	-0.708	-0.818
prison cell	-0.917	-0.440	-0.917	-0.758
private parts	-0.238	0.172	-0.238	-0.133
private practice	0.606	0.322	0.000	0.606
prize money	0.741	0.448	0.741	0.242
prize winner	0.750	0.678	0.750	0.639
pro bono	0.958	-0.068	0.958	0.861
problem child	-0.700	-0.548	-0.667	-0.700
problem solver	0.958	0.344	0.958	0.697
problem solving	0.750	0.266	0.750	0.639
problem with	-0.524	-0.406	-0.524	-0.061
product development	0.600	0.500	0.125	0.600
professional baseball	0.417	0.308	0.417	0.303
professional development	0.800	0.260	0.375	0.800
professional football	0.583	0.140	0.583	0.394
professional help	0.792	0.592	0.792	0.750
professional life	0.758	0.634	-0.083	0.758
profit from	-0.333	0.334	-0.333	-0.333
profit margin	-0.333	0.276	-0.333	0.100
programming language	-0.292	0.234	-0.292	0.139
project management	0.667	0.414	0.417	0.667
project manager	0.528	0.572	0.292	0.528
promised land	0.750	0.134	0.750	0.606
proper name	0.300	0.062	0.286	0.300
property management	0.500	0.380	0.048	0.500
property owner	0.152	0.576	-0.042	0.152
property rights	0.636	0.586	0.000	0.636
property tax	-0.444	-0.034	-0.444	0.250
propose to	0.708	0.148	0.708	0.485
prostate cancer	-0.417	-0.206	-0.417	0.000
proud of	0.708	0.392	0.708	0.636
proud owner	0.583	0.000	0.583	0.533
provide care	1.000	0.218	1.000	0.815
provide for	0.952	-0.142	0.952	0.733
provide support	1.000	0.400	1.000	0.852
proxy war	-0.600	0.096	-0.600	-0.500
pubic hair	0.000	-0.250	0.000	0.000
public company	0.630	0.166	0.167	0.630
public domain	0.267	0.234	0.259	0.267
public enemy	-1.000	0.000	-1.000	-0.889
public figure	0.500	0.260	0.500	0.259
public good	0.897	0.250	0.810	0.897
public health	0.857	0.000	0.857	0.806
public interest	0.857	0.630	0.857	0.788
public library	0.857	0.362	0.857	0.697
public life	0.625	0.124	0.625	0.152
public property	0.636	0.322	0.524	0.636
public relations	0.833	0.138	0.833	0.533
public school	0.600	0.226	0.519	0.600
public servant	0.875	0.000	0.875	0.636
public service	0.952	0.392	0.952	0.818
public toilet	-0.667	-0.296	-0.667	-0.111
public trust	0.926	0.324	0.926	0.861
publicity stunt	-0.630	-0.032	-0.630	-0.500
pull away	-0.476	0.184	-0.476	-0.028
pull back	-0.407	-0.178	-0.407	-0.111
pull down	-0.333	-0.266	-0.333	-0.042
pull into	0.208	0.192	0.208	-0.067
pull out	-0.504	-0.358	-0.504	-0.121
pull over	0.095	-0.214	0.095	0.000
pull together	0.952	0.234	0.952	0.694
pulling out	-0.061	-0.250	0.000	-0.061
pump out	-0.242	-0.104	-0.042	-0.242
pump up	0.619	0.000	0.619	0.056
pumped up	0.524	0.028	0.524	0.033
punch down	-0.815	0.098	-0.815	-0.576
punch out	-0.619	-0.428	-0.619	-0.091
pure evil	-1.000	-0.218	-1.000	-1.000
pure gold	1.000	0.586	1.000	0.933
