term	warmth	competence	sociability	trust
skillfulness	0.200	0.952	0.000	0.200
skimpily	-0.583	-0.381	-0.583	-0.576
skimpiness	-0.571	-0.370	-0.571	-0.533
skimpy	-0.667	-0.584	-0.542	-0.667
skinflint	-0.905	-0.238	-0.905	-0.727
skinhead	-0.833	0.667	-0.833	-0.697
skinless	-0.963	-0.833	-0.963	-0.033
skinned	-0.583	-0.500	-0.583	-0.074
skinner	-0.667	0.556	-0.667	-0.083
skinniness	-0.429	-0.292	-0.429	0.067
skinning	-0.167	0.292	-0.167	-0.100
skinny	-0.389	-0.404	-0.389	-0.037
skipped	-0.375	-0.333	-0.375	-0.212
skipping	-0.042	0.125	-0.042	-0.037
skirmish	-0.481	-0.052	-0.481	-0.083
skittish	-0.542	-0.656	-0.542	-0.394
skittishly	-0.417	-0.875	-0.417	-0.303
skittishness	-0.367	-0.926	-0.333	-0.367
skittle	0.292	0.000	0.292	0.061
skivvy	-0.619	-0.750	-0.619	-0.273
skulk	-0.741	-0.667	-0.741	-0.639
skull	-0.875	0.148	-0.875	0.000
skullduggery	-0.852	0.571	-0.762	-0.852
skunk	-0.750	-0.240	-0.750	-0.400
skunkweed	-0.905	-0.190	-0.905	-0.636
sky	0.222	-0.198	0.222	0.111
skydive	0.524	0.667	0.524	0.091
skydiver	0.667	0.667	0.667	0.030
skylark	0.556	0.000	0.556	0.091
skylight	0.417	-0.314	0.417	0.121
skype	0.889	0.208	0.889	0.121
skyrocket	0.286	0.926	0.286	0.139
skyscraping	-0.375	0.778	-0.375	0.000
skywalk	0.208	0.167	0.208	0.030
skyward	0.125	0.444	0.125	0.091
skyway	0.061	0.125	0.042	0.061
skywrite	0.095	0.238	0.095	0.000
skywriter	0.375	0.417	0.375	0.051
slab	-0.476	-0.472	-0.476	-0.028
slacker	-0.714	-0.952	-0.714	-0.667
slackly	-0.515	-0.815	-0.444	-0.515
slackness	-0.636	-0.583	-0.625	-0.636
slag	-0.833	-0.492	-0.833	-0.593
slain	-0.958	-0.667	-0.958	-0.074
slammed	-0.714	0.611	-0.714	-0.259
slamming	-0.667	0.750	-0.619	-0.667
slander	-0.967	-0.092	-0.810	-0.967
slanderer	-0.939	0.417	-0.917	-0.939
slanderously	-0.909	-0.042	-0.714	-0.909
slap	-0.708	0.036	-0.708	-0.639
slapdash	-0.625	-0.593	-0.625	-0.606
slaphappy	0.556	-0.667	0.556	-0.500
slapped	-0.625	-0.542	-0.625	-0.576
slapper	-0.708	-0.125	-0.708	-0.667
slapping	-0.667	0.741	-0.667	-0.636
slash	-0.417	0.018	-0.417	-0.273
slashes	-0.200	-0.180	0.000	-0.200
slaughter	-1.000	0.963	-1.000	-0.867
slaughterer	-1.000	0.952	-1.000	-0.778
slaughterhouse	-1.000	-0.056	-1.000	-0.636
slaughtering	-1.000	0.428	-1.000	-0.939
slave	-0.958	-0.698	-0.958	-0.458
slaved	-0.750	-1.000	-0.750	-0.697
slaveholder	-1.000	1.000	-1.000	-0.909
slaveholding	-1.000	1.000	-1.000	-0.889
slaver	-1.000	-0.458	-1.000	-0.727
slavish	-0.750	-0.958	-0.750	-0.556
slavishly	-0.667	-0.958	-0.667	-0.636
slavishness	-0.778	-1.000	-0.708	-0.778
slay	0.429	0.170	0.429	-0.208
slayer	-0.917	0.322	-0.917	-0.818
sleaze	-0.926	-0.190	-0.926	-0.905
sleazebag	-1.000	0.593	-1.000	-0.972
sleaziness	-1.000	-0.714	-1.000	-1.000
sleazy	-1.000	-0.260	-1.000	-0.879
sled	0.200	-0.108	0.200	0.077
sledding	0.571	-0.156	0.571	0.056
sledge	0.125	-0.278	0.125	-0.056
sleek	0.242	0.286	-0.125	0.242
sleekly	0.152	0.370	-0.067	0.152
sleekness	0.208	0.292	0.208	0.194
sleep	0.042	-0.282	0.042	0.000
sleeper	0.000	-0.492	0.000	0.000
sleepiness	-0.208	-0.778	-0.208	0.030
sleeping	0.167	-0.414	0.167	0.083
sleepless	-0.370	-0.586	-0.370	-0.091
sleeplessly	-0.375	-0.370	-0.375	-0.083
sleeplessness	-0.519	-0.596	-0.519	0.000
sleepover	1.000	-0.320	1.000	0.128
sleepyhead	0.375	-0.412	0.375	0.030
sleeved	0.083	0.000	0.083	0.061
sleeveless	-0.037	-0.600	-0.037	-0.030
sleigh	0.905	-0.208	0.905	0.083
sleight	-0.467	-0.242	-0.375	-0.467
slender	0.152	-0.238	0.095	0.152
slenderize	-0.292	0.370	-0.292	0.000
slenderness	0.190	-0.278	0.190	0.037
slew	0.125	0.625	0.125	-0.030
sliced	0.194	-0.037	-0.039	0.194
slick	-0.667	-0.302	-0.619	-0.667
slicker	-0.583	0.038	-0.286	-0.583
slideshow	0.042	0.000	0.042	0.030
sliding	0.042	-0.018	0.042	0.000
slighter	-0.250	-0.778	-0.250	-0.121
slime	-0.778	-0.634	-0.778	-0.556
sliminess	-1.000	-0.667	-0.810	-1.000
slimness	-0.167	-0.190	-0.167	0.028
slimy	-0.926	-0.382	-0.926	-0.909
slingshot	0.148	-0.052	0.148	-0.030
slinky	0.381	0.206	0.381	0.111
slip	-0.273	-0.358	-0.143	-0.273
slipcover	-0.042	-0.333	-0.042	0.000
slippage	-0.429	-0.630	-0.429	-0.370
slipped	-0.375	-0.952	-0.375	-0.091
slipper	0.619	-0.510	0.619	0.139
slipperiness	-0.633	-0.250	-0.625	-0.633
slippery	-0.545	-0.314	-0.375	-0.545
slipping	-0.333	-0.500	-0.333	-0.333
slippy	-0.333	-0.458	-0.333	-0.303
slipshod	-0.700	-0.750	-0.667	-0.700
slithery	-0.667	-0.292	-0.667	-0.667
slitting	-0.944	0.762	-0.944	-0.727
sliver	-0.208	-0.418	-0.208	0.030
slob	-0.852	-0.400	-0.852	-0.417
slobber	-0.625	-0.444	-0.625	-0.100
slobbery	-0.593	-0.500	-0.593	-0.513
slog	-0.542	-0.583	-0.542	-0.167
slogging	-0.417	0.095	-0.417	0.067
slop	-0.708	-0.350	-0.708	-0.303
slope	0.000	-0.442	0.000	0.000
slopped	-0.524	-0.333	-0.524	-0.370
sloppily	-0.667	-0.259	-0.500	-0.667
sloppiness	-0.667	-0.583	-0.667	-0.485
sloppy	-0.625	-0.634	-0.625	-0.500
slosh	-0.375	-0.296	-0.375	-0.100
sloth	-0.833	-0.750	-0.833	-0.233
slothfully	-0.704	-0.917	-0.704	-0.367
slothfulness	-0.667	-0.917	-0.667	-0.444
slouch	-0.571	-0.344	-0.571	-0.333
slough	-0.619	-0.600	-0.619	-0.091
slovenliness	-0.848	-0.810	-0.792	-0.848
slovenly	-0.714	-0.667	-0.714	-0.606
slow	-0.292	-0.708	-0.292	-0.152
slowdown	-0.296	-0.556	-0.296	-0.061
slower	-0.238	-0.548	-0.238	-0.133
slowness	-0.444	-0.618	-0.444	0.182
slowpoke	-0.182	-0.833	-0.083	-0.182
sludge	-0.778	-0.542	-0.778	-0.567
