term	warmth (W)	competence (C)	sociability (S)	trust (T)
expansionary	0.333	0.958	0.333	0.139
expansive	0.905	0.556	0.905	0.100
expansiveness	0.222	0.708	0.222	0.056
expatriate	0.333	-0.218	0.333	0.067
expectant	0.458	-0.002	0.458	0.273
expectation	0.286	0.414	0.286	0.200
expected	0.593	0.090	0.095	0.593
expedience	-0.394	0.476	0.056	-0.394
expedient	0.333	-0.092	0.333	-0.152
expedited	0.208	0.833	0.042	0.208
expediter	0.500	0.778	0.267	0.500
expedition	0.500	0.240	0.500	0.250
expeditionary	0.333	0.708	0.333	0.083
expeditiously	0.333	0.704	0.333	0.091
expeditiousness	0.576	0.667	0.000	0.576
expel	-0.792	-0.096	-0.792	-0.407
expellable	-0.667	-0.444	-0.667	-0.194
expellant	-0.630	0.857	-0.630	0.000
expelled	-0.741	-0.625	-0.741	-0.513
expendability	-0.667	-0.944	-0.667	-0.148
expenditure	-0.476	0.206	-0.476	0.133
expense	-0.333	-0.246	-0.333	-0.033
expenses	-0.148	-0.208	-0.148	0.000
expensive	-0.292	0.060	-0.292	0.000
expensively	-0.333	0.111	-0.333	0.067
expensiveness	-0.458	0.333	-0.458	-0.056
experience	0.667	0.810	0.619	0.667
experienced	0.667	0.778	0.333	0.667
experiences	0.714	0.590	0.714	0.212
experiential	0.576	0.259	0.333	0.576
experientially	0.267	0.037	-0.048	0.267
experimentalism	0.056	0.519	0.000	0.056
experimentation	0.476	0.534	0.476	0.222
experimenter	0.633	0.400	0.000	0.633
expert	0.722	0.822	0.143	0.722
expertise	0.788	0.850	0.208	0.788
expertly	0.727	1.000	0.037	0.727
expertness	0.611	0.733	0.000	0.611
expiration	-0.375	-0.074	-0.375	-0.061
expiration date	0.708	-0.354	-0.143	0.708
expired	-0.583	-0.600	-0.583	-0.455
expiry	-0.389	-0.236	-0.389	-0.030
expiry date	0.212	-0.566	-0.208	0.212
explain	0.852	0.472	0.852	0.733
explainable	0.641	0.259	0.292	0.641
explainer	0.857	0.583	0.857	0.455
explanative	0.542	0.500	0.542	0.455
expletive	-0.714	0.072	-0.714	-0.636
explicable	0.788	0.208	0.000	0.788
explicate	0.500	0.556	0.389	0.500
explicatively	-0.185	0.500	-0.167	-0.185
explode	-0.593	0.546	-0.593	-0.194
exploded	-0.481	0.792	-0.481	-0.212
exploder	-0.879	0.875	-0.667	-0.879
exploit	-0.846	0.320	-0.667	-0.846
exploitable	-0.636	-0.857	-0.619	-0.636
exploitation	-0.963	0.436	-0.875	-0.963
exploitative	-1.000	0.963	-1.000	-0.963
exploiter	-1.000	1.000	-0.958	-1.000
exploitive	-0.972	0.917	-0.762	-0.972
explorative	0.593	0.593	0.593	0.167
exploratory	0.750	0.396	0.750	0.133
explore	0.875	0.454	0.875	0.467
explored	0.481	0.593	0.481	0.222
explorer	0.667	0.428	0.667	0.667
explosion	-0.625	0.388	-0.625	-0.074
explosions	-0.762	0.188	-0.762	-0.636
explosive	-0.606	0.326	-0.476	-0.606
explosively	-0.667	0.815	-0.667	-0.067
explosiveness	-0.630	0.958	-0.630	-0.467
exponential	0.000	0.526	0.000	0.000
exportability	0.000	0.333	0.000	0.000
exportable	0.267	0.519	0.042	0.267
exportation	-0.208	0.346	-0.208	0.000
exporter	0.273	0.741	0.190	0.273
expose	-0.333	0.074	-0.333	0.042
expositional	0.212	0.407	0.056	0.212
expositive	0.067	0.444	0.000	0.067
expositor	0.636	0.583	0.429	0.636
expository	0.576	0.272	0.048	0.576
expostulatory	-0.583	0.333	-0.583	-0.182
expounder	0.545	0.630	0.111	0.545
express	0.636	0.382	0.524	0.636
expressible	0.524	0.333	0.524	0.091
expression	0.667	0.442	0.667	0.444
expressional	0.417	0.278	0.417	0.182
expressionism	-0.286	0.292	-0.286	0.033
expressionist	0.417	0.571	0.417	0.030
expressionless	-0.792	-0.556	-0.792	-0.185
expressionlessly	-0.750	-0.375	-0.750	-0.182
expressive	0.958	0.370	0.958	0.600
expressively	0.833	0.583	0.833	0.074
expressiveness	1.000	0.476	1.000	0.533
expressivity	0.833	0.481	0.833	0.250
expressway	0.125	0.174	0.000	0.125
expropriate	-0.667	0.778	-0.667	-0.636
expropriation	-0.758	0.576	-0.750	-0.758
expropriator	-0.708	0.963	-0.708	-0.704
expulsion	-0.762	0.058	-0.762	-0.645
expunger	-0.619	0.667	-0.619	-0.545
expurgatory	-0.667	0.458	-0.667	-0.286
exquisite	0.857	0.208	0.857	0.152
exquisitely	0.704	0.446	0.704	0.182
exquisiteness	0.875	0.208	0.875	0.519
extant	0.091	0.046	0.000	0.091
extemporaneous	0.042	0.476	0.042	0.037
extemporaneously	0.250	0.375	0.250	0.222
extemporary	0.037	0.500	0.037	-0.033
extemporization	0.185	0.630	0.185	0.067
extend	0.458	0.378	0.458	0.167
extendable	0.091	0.444	0.083	0.091
extended family	0.917	0.444	0.917	0.667
extendibility	0.133	0.333	0.000	0.133
extensibility	0.037	0.519	0.037	0.030
extensible	0.133	0.481	0.000	0.133
extensive	0.259	0.520	0.048	0.259
extensiveness	0.292	0.625	-0.042	0.292
extent	0.000	0.204	0.000	0.000
extenuation	0.238	-0.333	0.238	-0.026
exterminable	-0.810	0.593	-0.810	-0.667
exterminate	-1.000	0.472	-1.000	-0.767
extermination	-1.000	0.232	-1.000	-0.967
exterminator	-1.000	0.774	-1.000	0.455
exterminatory	-0.963	0.917	-0.963	-0.806
externally	0.121	0.136	0.000	0.121
extinct	-0.370	-0.176	-0.370	0.000
extinction	-0.833	0.222	-0.833	0.000
extinguish	-0.667	-0.036	-0.667	0.000
extinguisher	0.818	0.086	-0.259	0.818
extort	-0.972	0.140	-0.905	-0.972
extorter	-1.000	0.958	-0.889	-1.000
extortion	-1.000	0.260	-0.958	-1.000
extortionate	-1.000	0.741	-0.750	-1.000
extortionist	-1.000	0.963	-1.000	-1.000
extortive	-1.000	0.952	-0.833	-1.000
extra	-0.048	0.490	-0.048	0.030
extra curricular	0.952	0.394	0.952	0.139
extractible	0.000	0.238	0.000	0.000
extractor	-0.476	0.038	-0.476	0.100
extradite	-0.611	0.667	-0.611	0.074
extradition	-0.667	0.108	-0.667	0.333
extrajudicial	-0.708	0.334	-0.708	-0.515
extramarital	-0.810	-0.375	-0.810	-0.727
extramural	0.148	0.074	0.148	0.061
extraneous	-0.583	-0.044	-0.583	-0.091
extraneousness	-0.381	-0.524	-0.381	-0.037
extraordinaire	0.810	0.796	0.810	0.333
extraordinarily	0.741	0.583	0.741	0.133
extraordinariness	0.375	0.963	0.375	0.033
extraordinary	0.750	0.802	0.750	0.148
extraprofessional	-0.296	0.519	-0.296	0.000
extrasolar	-0.222	0.238	-0.222	0.000
extravagancy	-0.533	0.458	-0.286	-0.533
extravagant	-0.333	0.624	-0.333	-0.212
extravagantly	0.000	0.583	0.000	0.000
extravaganza	0.286	0.812	0.286	0.121
extraversion	0.958	0.625	0.958	0.030
extravert	1.000	0.429	1.000	0.167
extreme	-0.250	0.442	-0.250	0.000
extreme disgust	-0.875	-0.088	-0.875	-0.667
extreme sport	0.476	0.414	0.476	0.030
extreme surprise	0.857	0.352	0.857	0.167
extreme trust	0.926	0.844	0.926	0.778
extremely	0.000	0.772	0.000	0.000
extremely negative	-0.905	-0.378	-0.905	-0.722
extremely positive	0.958	0.678	0.958	0.222
extremism	-0.667	0.905	-0.625	-0.667
extremist	-0.750	0.778	-0.750	-0.593
extricated	0.273	0.926	-0.208	0.273
extroversion	1.000	0.667	1.000	0.212
extrovert	0.889	0.667	0.889	0.296
extrusion	-0.381	0.090	-0.381	0.000
exuberance	1.000	0.574	1.000	0.182
exuberant	1.000	0.593	1.000	0.259
exuberantly	0.958	0.583	0.958	0.091
exuberate	0.958	0.619	0.958	0.030
exude	0.708	-0.178	0.708	0.167
exult	0.889	0.792	0.889	0.139
exultance	0.857	0.778	0.857	0.242
exultancy	0.875	0.583	0.875	0.128
exultantly	0.833	0.833	0.833	0.182
exultation	1.000	0.810	1.000	0.576
eye candy	-0.278	0.064	0.208	-0.278
eye doctor	0.833	0.242	0.375	0.833
eye patch	-0.250	-0.022	-0.250	0.000
eye shadow	0.125	0.222	0.125	0.000
eye surgery	-0.208	0.102	-0.208	0.167
eyedrop	0.083	-0.208	0.000	0.083
eyeful	0.125	0.352	0.125	0.000
eyeless	-0.875	-0.778	-0.875	-0.148
eyelet	0.033	-0.308	0.000	0.033
eyeliner	0.000	-0.306	0.000	0.000
eyes	0.905	-0.136	0.905	0.485
eyeshadow	0.208	0.000	0.208	0.000
eyesight	0.222	-0.314	0.042	0.222
eyesore	-0.714	-0.429	-0.714	-0.273
eyestrain	-0.292	-0.333	-0.292	-0.100
eyetooth	-0.143	0.000	-0.143	0.030
eyewash	-0.667	-0.292	-0.667	-0.630
fable	0.476	-0.222	0.476	0.111
fabled	0.606	0.090	0.500	0.606
fabric	0.091	-0.310	0.074	0.091
fabric softener	0.333	-0.178	0.333	0.091
fabricate	-0.879	0.558	-0.625	-0.879
fabulous	1.000	0.594	1.000	0.250
fabulously	0.778	0.370	0.778	0.091
fabulousness	0.792	0.542	0.792	0.273
face down	-0.519	-0.388	-0.519	-0.222
face off	-0.619	-0.058	-0.619	0.028
face paint	0.333	0.108	0.333	-0.100
face time	0.833	0.034	0.833	0.485
face value	0.667	0.334	0.048	0.667
face wash	0.200	0.000	0.042	0.200
facebook	0.625	0.619	0.625	-0.292
faceless	-0.708	-0.654	-0.708	-0.394
facet	0.091	-0.236	0.048	0.091
facetious	-0.333	0.296	-0.333	-0.182
facetiously	-0.389	0.000	-0.389	-0.056
facetiousness	-0.593	-0.250	-0.593	-0.212
facile	-0.286	-0.386	-0.286	-0.242
facilitate	0.792	0.018	0.792	0.758
facilitative	0.667	0.519	0.667	0.606
facilitator	0.905	0.583	0.905	0.700
facilitatory	0.619	0.625	0.619	0.515
facilities	0.370	0.370	0.370	0.194
facility	0.095	0.308	0.042	0.095
fact	0.967	0.236	0.000	0.967
factionist	-0.697	0.619	-0.667	-0.697
factious	-0.667	-0.381	-0.667	-0.333
factiously	-0.667	-0.208	-0.667	-0.667
factitious	-0.708	-0.208	-0.667	-0.708
factitiously	-0.667	-0.375	-0.667	-0.667
factor	0.056	0.356	0.000	0.056
factories	-0.375	0.833	-0.375	0.100
facts	0.788	0.386	0.042	0.788
factual	0.878	0.090	0.042	0.878
factuality	0.944	0.444	0.074	0.944
faculties	0.139	0.520	-0.037	0.139
fad	-0.500	0.140	-0.333	-0.500
faddish	-0.556	-0.481	-0.556	-0.467
fade	-0.375	-0.510	-0.375	-0.128
fade away	-0.625	-0.360	-0.625	-0.083
fade in	0.095	-0.392	0.095	0.000
fade out	-0.296	-0.718	-0.296	-0.111
faded	-0.250	-0.612	-0.250	-0.103
fadedness	-0.444	-0.741	-0.444	-0.121
fadeless	0.556	0.250	0.083	0.556
faeces	-1.000	-0.650	-1.000	-0.833
fail	-0.633	-0.692	-0.407	-0.633
fail to	-0.583	-0.612	-0.583	-0.583
failed state	-0.833	-0.516	-0.833	-0.818
failing	-0.524	-0.464	-0.524	-0.167
failsafe	0.939	0.926	0.286	0.939
failure	-0.593	-0.722	-0.593	-0.048
faint	-0.292	-0.666	-0.292	-0.061
fainter	-0.167	-0.630	-0.167	-0.133
fainthearted	-0.571	-0.704	-0.571	-0.194
faintheartedly	-0.583	-0.815	-0.583	-0.400
faintheartedness	-0.556	-0.926	-0.238	-0.556
fainting	0.074	-0.572	0.074	0.000
faintness	-0.375	-0.917	-0.375	-0.030
fair	1.000	0.286	1.000	0.861
fair amount	0.424	0.190	0.407	0.424
fair chance	0.848	-0.036	0.556	0.848
fair deal	0.917	0.072	0.917	0.889
fair game	0.636	0.188	0.208	0.636
fair play	0.970	-0.034	0.958	0.970
fair question	0.800	0.296	0.750	0.800
fair shake	0.818	0.000	0.792	0.818
fair trade	0.952	0.068	0.952	0.879
fair trial	0.879	0.034	0.630	0.879
fair use	0.700	0.166	0.400	0.700
fairer	0.818	0.333	0.500	0.818
fairgoer	0.857	-0.083	0.857	0.194
fairground	0.708	0.000	0.708	0.139
fairly	0.697	0.500	0.571	0.697
fairness	0.939	0.104	0.875	0.939
fairy godmother	1.000	0.096	1.000	0.861
fairy tale	0.857	-0.100	0.857	0.242
fairyland	0.833	-0.190	0.833	-0.028
fairylike	0.833	-0.381	0.833	0.091
fairytale	0.875	-0.074	0.875	0.292
faith	0.973	0.526	0.958	0.973
faith in	0.972	-0.098	0.875	0.972
faithful	0.958	0.254	0.958	0.900
faithfulness	1.000	0.204	0.958	1.000
faithless	-1.000	-0.392	-0.857	-1.000
faithlessly	-0.944	-0.444	-0.815	-0.944
faithlessness	-0.970	-0.889	-0.762	-0.970
fajita	0.583	0.000	0.583	0.061
fake	-0.944	-0.464	-0.852	-0.944
fake it	-0.758	-0.408	-0.542	-0.758
fake news	-0.933	-0.352	-0.875	-0.933
fake out	-0.767	-0.656	-0.619	-0.767
faked	-0.933	-0.600	-0.762	-0.933
faker	-1.000	-0.040	-0.792	-1.000
fakery	-0.952	-0.556	-0.952	-0.741
falconer	0.606	0.762	0.333	0.606
falconry	-0.056	0.619	-0.056	0.037
fall	0.048	-0.558	0.048	0.028
fall apart	-0.667	-0.206	-0.571	-0.667
fall asleep	0.292	-0.344	0.292	0.125
fall away	-0.556	-0.408	-0.556	-0.200
fall back	0.048	-0.194	0.048	0.030
fall behind	-0.370	-0.366	-0.370	-0.030
fall down	-0.167	-0.800	-0.167	-0.100
fall flat	-0.524	-0.612	-0.524	-0.278
fall guy	-0.567	-0.420	-0.458	-0.567
fall into	-0.074	-0.154	0.042	-0.074
fall off	-0.370	-0.630	-0.370	-0.056
fall out	-0.542	-0.366	-0.542	-0.139
fall over	-0.042	-0.534	-0.042	0.000
fall short	-0.400	-0.068	-0.370	-0.400
fall through	-0.567	-0.116	-0.481	-0.567
fall to	-0.042	-0.334	-0.042	-0.030
fall under	0.111	-0.388	0.000	0.111
fall victim	-0.133	-0.466	-0.133	-0.061
fallacious	-0.733	-0.220	-0.625	-0.733
fallaciously	-1.000	-0.583	-0.667	-1.000
fallaciousness	-0.970	-0.389	-0.611	-0.970
fallacy	-0.806	-0.140	-0.625	-0.806
fallibility	-0.233	-0.704	-0.190	-0.233
fallible	-0.296	-0.196	0.000	-0.296
fallibly	-0.125	-0.533	-0.125	0.037
falling	-0.292	-0.388	-0.292	-0.111
falling down	-0.429	-0.572	-0.429	-0.182
falling off	-0.208	-0.400	-0.208	-0.200
falling out	-0.500	-0.354	-0.500	-0.303
fallopian	-0.417	-0.072	-0.417	0.000
fallow	-0.381	-0.072	-0.381	0.083
false	-0.970	-0.451	-0.833	-0.970
false alarm	-0.455	-0.482	-0.095	-0.455
false claims	-0.889	-0.344	-0.708	-0.889
false hope	-0.667	-0.678	-0.667	-0.667
false information	-0.967	-0.666	-0.714	-0.967
false negative	-0.619	-0.600	-0.619	-0.611
false positive	-0.667	-0.466	-0.375	-0.667
false positives	-0.556	-0.344	-0.524	-0.556
false sense	-0.625	-0.630	-0.625	-0.512
false start	-0.444	-0.162	-0.208	-0.444
false starts	-0.467	-0.710	-0.333	-0.467
false statements	-0.708	-0.100	-0.708	-0.697
false witness	-0.933	-0.310	-0.875	-0.933
falsehearted	-1.000	-0.524	-1.000	-0.939
falsehood	-0.991	-0.232	-0.952	-0.991
falsely	-0.750	-0.328	-0.625	-0.750
falseness	-0.861	-0.583	-0.778	-0.861
falsetto	-0.519	-0.333	-0.519	0.000
falsification	-0.939	-0.020	-0.667	-0.939
falsified	-0.861	-0.388	-0.704	-0.861
falsifier	-1.000	0.444	-0.708	-1.000
falsify	-1.000	-0.182	-0.792	-1.000
falsity	-0.848	-0.628	-0.667	-0.848
falterer	-0.667	-0.778	-0.667	-0.485
fame	0.556	0.704	0.556	0.267
famed	0.500	0.638	0.500	0.250
fameless	-0.542	-0.750	-0.542	0.030
familial	1.000	-0.333	1.000	0.667
familiar	0.833	0.230	0.833	0.222
familiar with	0.944	0.300	0.944	0.333
familiarity	0.944	0.232	0.944	0.583
familiarization	0.778	0.286	0.778	0.083
familiarize	0.833	0.308	0.833	0.167
familiarly	0.905	0.000	0.905	0.306
families	0.951	0.222	0.951	0.917
family	0.957	0.286	0.957	0.900
family business	0.958	0.370	0.958	0.533
family doctor	1.000	0.500	1.000	1.000
family emergency	0.952	0.100	0.952	0.185
family friend	0.917	0.130	0.917	0.875
family fun	1.000	0.088	1.000	0.606
family history	0.741	0.162	0.741	0.576
family home	1.000	0.266	1.000	0.926
family man	1.000	0.206	1.000	0.788
family medicine	0.905	0.234	0.905	0.556
family member	0.958	0.108	0.958	0.733
family name	0.905	0.034	0.905	0.515
family owned	1.000	0.428	1.000	0.667
family reunion	1.000	0.276	1.000	0.714
family room	0.958	0.040	0.958	0.600
family size	0.833	-0.040	0.833	0.000
family tree	0.905	0.344	0.905	0.139
family values	0.944	0.630	0.944	0.727
familytime	1.000	0.358	1.000	0.722
famine	-0.833	-0.380	-0.833	0.048
famish	-0.458	-0.963	-0.458	-0.037
famished	0.042	-0.436	0.042	0.000
famous	0.500	0.764	0.500	0.278
famous person	0.444	0.656	0.444	0.074
famously	0.429	0.574	0.429	0.152
famousness	0.417	0.778	0.417	0.167
fan	0.741	-0.286	0.741	0.133
fan base	0.917	0.310	0.917	0.121
fan club	0.833	0.074	0.833	0.139
fan out	0.381	-0.380	0.381	0.000
fanatically	-0.639	0.741	-0.500	-0.639
fanaticism	-0.708	0.132	-0.708	-0.542
fanaticize	-0.556	0.333	-0.333	-0.556
fanbase	0.833	-0.096	0.833	0.091
fancied	0.148	0.625	0.148	0.067
fancier	0.542	0.333	0.542	0.152
fancies	0.417	-0.125	0.417	-0.111
fanciful	-0.212	-0.316	0.148	-0.212
fancifully	0.286	0.429	0.286	-0.182
fanciness	-0.417	0.167	-0.417	0.000
fancy	0.292	0.068	0.292	0.139
fancywork	0.381	-0.167	0.381	0.000
fandangle	-0.267	-0.042	0.042	-0.267
fandom	0.733	0.250	0.733	0.056
fanfare	0.889	-0.126	0.889	0.133
fang	-0.708	-0.090	-0.708	-0.238
fangs	-0.952	-0.132	-0.952	-0.636
fantasia	0.593	-0.128	0.593	0.111
fantasies	0.250	-0.148	0.250	-0.194
fantasize	0.333	-0.288	0.333	-0.121
fantastic	0.952	0.662	0.952	0.167
fantastical	0.133	0.333	0.111	0.133
fantastically	0.519	0.296	0.519	0.182
fantasy	0.381	-0.052	0.381	-0.111
fantasy baseball	0.381	0.380	0.381	0.000
fantasy novel	0.381	0.034	0.381	0.061
fantasy world	0.583	0.290	0.583	0.000
far	-0.250	-0.130	-0.250	0.000
far cry	-0.542	-0.200	-0.542	-0.037
far fetched	-0.444	-0.134	-0.292	-0.444
far from	-0.481	-0.104	-0.481	0.030
far left	-0.148	-0.444	-0.143	-0.148
far off	-0.458	-0.500	-0.458	0.037
far out	0.296	-0.366	0.296	0.037
far right	-0.625	0.154	-0.625	0.000
faraway	-0.417	-0.430	-0.417	0.028
farce	-0.700	-0.508	-0.519	-0.700
farewell	0.810	0.182	0.810	-0.074
farfetched	-0.593	-0.389	-0.593	-0.528
farfetchedness	-0.625	-0.333	-0.625	-0.528
farm	0.857	-0.406	0.857	0.600
farmable	0.083	0.458	0.000	0.083
farmer	0.810	-0.072	0.810	0.767
farmhand	0.472	-0.444	0.444	0.472
farmhouse	1.000	-0.112	1.000	0.472
farmland	0.583	0.018	0.583	0.182
farmost	0.061	0.500	0.000	0.061
farmstead	0.639	0.000	0.542	0.639
farseeing	0.667	0.762	0.000	0.667
farsighted	0.556	0.619	0.292	0.556
farsightedly	0.429	0.630	0.429	0.424
farsightedness	0.273	0.667	0.048	0.273
fart	-0.381	-0.472	-0.381	-0.190
fascinate	0.792	0.604	0.792	0.091
fascinated	0.905	0.576	0.905	0.152
fascinating	0.857	0.568	0.857	0.182
fascination	0.750	0.670	0.750	0.200
fascinator	0.417	0.292	0.417	0.000
fascism	-1.000	0.390	-1.000	-0.933
fascist	-1.000	0.054	-1.000	-0.788
fashion	0.125	0.178	0.125	0.074
fashion designer	0.741	0.562	0.741	0.567
fashion industry	-0.367	0.266	0.000	-0.367
fashion show	0.583	0.428	0.583	0.074
fashion statement	0.542	0.206	0.542	0.056
fashionable	0.556	0.210	0.556	0.111
fashionably	0.370	0.458	0.370	0.167
fashioner	0.190	0.593	0.190	0.148
fashionista	0.625	0.630	0.625	-0.037
fashionmonger	-0.273	0.238	-0.167	-0.273
fast	0.233	0.290	0.111	0.233
fast food	-0.333	0.100	-0.333	-0.333
fast forward	0.037	0.206	0.037	0.033
fast track	0.233	0.282	-0.056	0.233
fastback	0.033	0.074	0.000	0.033
fastball	0.167	0.150	0.167	0.000
faster	0.152	0.134	0.095	0.152
fastest	0.250	0.620	0.000	0.250
fastidiousness	0.639	0.519	-0.583	0.639
fasting	-0.250	-0.212	-0.250	0.194
fat	-0.333	-0.526	-0.333	0.000
fat boy	-0.111	-0.380	-0.048	-0.111
fat cat	-0.667	0.034	0.238	-0.667
fat cats	-0.667	0.000	-0.667	-0.533
fat guy	-0.139	-0.300	0.111	-0.139
fat lady	-0.182	-0.358	0.056	-0.182
fat man	0.524	-0.344	0.524	0.000
fat person	0.292	-0.160	0.292	-0.167
fatal	-0.762	0.018	-0.762	-0.190
fatalism	-0.542	0.262	-0.542	-0.182
fatalist	-0.542	-0.667	-0.542	-0.303
fatalistic	-0.667	-0.667	-0.667	-0.250
fatalistically	-0.625	-0.667	-0.625	-0.273
fatality	-0.815	0.324	-0.815	-0.727
fatally	-0.815	0.333	-0.815	-0.222
fateful	-0.417	-0.196	-0.417	0.212
fatefulness	0.111	0.375	0.111	0.111
fathead	-0.815	-0.074	-0.815	-0.606
father	0.958	0.648	0.958	0.900
father figure	0.889	0.308	0.889	0.818
father's day	0.963	0.484	0.963	0.611
fatherhood	0.963	0.364	0.963	0.694
fatherland	0.458	0.556	0.458	0.394
fatherless	-0.556	-0.619	-0.556	-0.042
fatherlessness	-0.667	-0.810	-0.667	-0.639
fatherliness	0.952	0.500	0.952	0.667
fatherly	0.905	0.424	0.905	0.900
fathomable	0.250	0.292	0.250	0.067
fathomless	-0.571	0.042	-0.571	0.037
fatigue	-0.370	-0.470	-0.370	0.000
fatigued	-0.429	-0.510	-0.429	-0.152
fatigueless	0.242	0.762	0.111	0.242
fatness	-0.429	-0.476	-0.429	0.000
fatso	-1.000	-0.328	-1.000	-0.238
fatten	-0.121	-0.274	0.042	-0.121
fattener	-0.476	0.542	-0.476	-0.167
fatty	-0.286	-0.350	-0.286	-0.152
fatuous	-0.727	-0.667	-0.704	-0.727
fatuously	-0.733	-0.889	-0.708	-0.733
fault	-0.485	-0.632	-0.333	-0.485
faultfinder	-0.714	-0.111	-0.714	-0.639
faultfinding	-0.667	0.833	-0.667	-0.600
faultiness	-0.667	-0.852	-0.476	-0.667
faultless	0.963	0.482	0.741	0.963
faultlessly	0.967	0.926	0.407	0.967
faultlessness	0.727	0.815	0.630	0.727
faulty	-0.633	-0.244	-0.600	-0.633
fauna	0.222	-0.096	0.222	0.033
faux	-0.625	-0.592	-0.625	-0.533
faux pas	-0.467	-0.230	-0.333	-0.467
favor	1.000	0.038	1.000	0.704
favor with	0.810	0.154	0.810	0.515
favorable	0.926	0.576	0.926	0.630
favorableness	0.917	0.519	0.917	0.545
favorably	0.815	0.542	0.815	0.273
favorer	0.708	0.190	0.708	0.576
favorite	0.958	0.382	0.958	0.545
favoriteholiday	1.000	0.164	1.000	0.182
favourite	0.905	0.358	0.905	0.267
favours	0.952	0.208	0.952	0.121
fawn	0.875	-0.432	0.875	-0.061
fawner	-0.576	-0.810	-0.238	-0.576
fawnlike	0.875	-0.625	0.875	0.121
faze me	-0.083	-0.034	-0.083	0.042
fck	-0.857	-0.096	-0.857	-0.788
fear	-0.762	-0.414	-0.762	-0.167
fear for	0.500	-0.242	0.500	-0.033
fear mongering	-0.800	-0.276	-0.750	-0.800
feared	-0.708	0.018	-0.708	-0.182
fearful	-0.667	-0.444	-0.667	-0.091
fearfully	-0.625	-0.458	-0.625	-0.273
fearfulness	-0.625	-0.958	-0.625	-0.364
fearing	-0.542	-0.488	-0.542	-0.139
fearless	0.722	0.520	0.722	0.152
fearlessly	0.758	0.963	0.429	0.758
fearlessness	0.625	1.000	0.625	0.000
fears	-0.458	-0.388	-0.458	-0.167
fearsome	-0.667	0.172	-0.667	-0.273
fearsomely	-0.750	0.963	-0.750	-0.333
feasibility	0.611	0.482	0.042	0.611
feasible	0.727	0.222	0.000	0.727
feasibly	0.167	0.333	0.000	0.167
feast	1.000	0.360	1.000	0.233
feast on	0.667	0.186	0.667	0.074
feat	0.333	0.698	0.333	0.242
feather	0.127	-0.712	0.127	0.091
featherbed	0.167	-0.476	0.167	0.000
featherbedding	-0.667	0.042	-0.667	-0.630
featherbrain	-0.727	-0.905	-0.542	-0.727
featherless	-0.381	-0.625	-0.381	0.000
featherlike	0.074	-0.750	0.074	0.061
featherweight	0.000	-0.917	0.000	0.000
feathery	0.333	-0.292	0.333	0.083
feature	0.148	0.358	0.148	0.061
feature film	0.417	0.310	0.417	0.303
featured	0.048	0.400	0.048	0.028
featureless	-0.619	-0.593	-0.619	0.000
features	0.000	0.018	0.000	0.000
february	0.095	0.000	0.095	0.000
fecal	-0.889	-0.574	-0.889	-0.727
fecal matter	-1.000	-0.076	-1.000	-0.818
feces	-0.958	-0.386	-0.958	-0.417
feckless	-0.744	-0.741	-0.667	-0.744
fecklessly	-0.795	-1.000	-0.625	-0.795
fecklessness	-0.926	-0.944	-0.926	-0.758
fecundity	0.583	0.366	0.583	0.091
fed up	-0.500	-0.346	-0.500	-0.152
federal court	0.733	0.500	-0.500	0.733
federal government	0.394	0.500	-0.238	0.394
federal holiday	0.704	0.344	0.704	0.606
federal tax	-0.571	0.074	-0.571	0.303
federalism	0.424	0.667	0.042	0.424
federation	0.567	0.526	0.375	0.567
fedup	-0.708	-0.296	-0.708	-0.091
fee	-0.458	0.112	-0.458	0.000
feeble	-0.524	-0.891	-0.524	-0.111
feebleminded	-0.733	-1.000	-0.667	-0.733
feebleness	-0.630	-1.000	-0.630	-0.100
feebly	-0.611	-0.917	-0.611	-0.200
feed	0.857	0.478	0.857	0.481
feed off	-0.476	-0.354	-0.476	-0.083
feedbox	-0.095	0.000	-0.095	0.000
feel	0.704	0.192	0.704	0.111
feel bad	-0.333	-0.536	-0.333	-0.091
feel compelled	0.792	0.194	0.792	0.121
feel free	0.917	0.000	0.917	0.636
feel good	0.952	0.114	0.952	0.152
feel out	0.333	-0.534	0.333	0.067
feel sorry	0.944	-0.322	0.944	0.364
feelgood	0.958	0.121	0.958	0.133
feeling	0.875	0.062	0.875	0.167
feeling good	1.000	0.600	1.000	0.121
feelinggood	0.917	0.310	0.917	0.242
feign	-0.767	-0.288	-0.583	-0.767
feigned	-0.833	-0.334	-0.417	-0.833
feigner	-0.722	-0.630	-0.542	-0.722
feint	-0.667	0.375	-0.619	-0.667
felicitate	0.963	0.333	0.963	0.148
felicitation	1.000	0.583	1.000	0.545
felicitous	0.833	0.333	0.833	0.267
felicitously	0.857	0.375	0.857	0.139
felicitousness	1.000	0.667	1.000	0.233
felicity	0.952	0.586	0.952	0.694
fell	-0.333	-0.500	-0.222	-0.333
fellate	-0.909	-0.556	-0.810	-0.909
fellow	0.905	0.140	0.905	0.576
fellowman	0.944	0.000	0.944	0.667
fellowship	1.000	0.556	1.000	0.636
felon	-1.000	-0.090	-1.000	-0.944
felonious	-0.939	0.583	-0.875	-0.939
feloniously	-1.000	0.238	-0.875	-1.000
felony	-0.958	-0.056	-0.958	-0.909
felt	0.583	0.132	0.583	0.182
femaleness	0.458	-0.292	0.458	0.000
females	0.433	0.000	0.333	0.433
