term	warmth (W)	competence (C)	sociability (S)	trust (T)
stick with	0.857	0.186	0.857	0.606
stickiness	-0.333	-0.375	-0.333	0.030
sticking out	-0.167	-0.310	-0.167	0.000
stickler	-0.458	-0.166	-0.458	0.444
sticky	-0.417	-0.416	-0.417	-0.061
sticky fingers	-0.867	0.172	-0.762	-0.867
stiff	-0.667	0.138	-0.667	-0.182
stiffen	-0.458	0.438	-0.458	-0.033
stiffly	-0.625	-0.333	-0.625	-0.121
stiffness	-0.556	0.314	-0.556	-0.121
stifle	-0.667	-0.146	-0.667	-0.194
stifled	-0.458	-0.614	-0.458	-0.148
stifler	-0.619	-0.042	-0.619	-0.083
stifling	-0.619	0.216	-0.619	-0.333
stigma	-0.727	-0.060	-0.667	-0.727
stigmata	-0.593	-0.296	-0.593	0.000
stigmatically	-0.667	-0.667	-0.667	-0.364
stigmatism	-0.704	-0.292	-0.704	-0.633
stigmatization	-0.708	-0.667	-0.708	-0.697
stigmatize	-0.810	0.708	-0.810	-0.778
stile	0.030	0.382	0.000	0.030
stiletto	-0.333	-0.146	-0.333	-0.133
still	0.100	-0.381	0.074	0.100
stillbirth	-0.833	-0.418	-0.833	-0.074
stillborn	-0.889	-0.326	-0.889	-0.083
stillness	0.300	-0.322	0.125	0.300
stillwaiting	0.037	-0.160	0.000	0.037
stimulate	0.676	0.508	0.676	0.111
stimulating	0.857	0.618	0.857	0.333
stimulation	0.519	0.404	0.519	0.299
stimulator	0.542	0.667	0.542	0.028
stimulatory	0.333	0.444	0.333	0.000
stimulus	0.148	0.500	0.148	0.030
sting	-0.619	-0.254	-0.619	-0.606
stinger	-0.667	0.016	-0.667	-0.481
stingily	-0.875	-0.556	-0.875	-0.667
stinginess	-0.889	-0.556	-0.889	-0.767
stinging	-0.667	-0.082	-0.667	-0.212
stingless	0.208	-0.333	0.208	0.067
stingy	-0.812	-0.434	-0.812	-0.639
stink	-0.810	-0.640	-0.810	-0.636
stink eye	-0.704	-0.214	-0.704	-0.697
stinkbug	-0.583	-0.074	-0.583	-0.048
stinker	-0.833	-0.450	-0.619	-0.833
stinking	-0.905	-0.472	-0.905	-0.769
stinkpot	-0.792	-0.583	-0.792	-0.733
stinkweed	-0.815	-0.250	-0.815	-0.545
stinky	-0.875	-0.648	-0.875	-0.472
stir crazy	-0.444	0.250	-0.444	-0.121
stirred	0.250	0.042	0.250	0.028
stirrup	0.042	-0.208	0.042	0.037
stitch	0.167	-0.286	0.167	0.000
stockade	-0.762	0.000	-0.762	0.033
stockbreeder	0.485	0.542	0.375	0.485
stockcar	-0.524	0.542	-0.524	0.000
stockholding	-0.167	0.611	-0.167	0.091
stockholm	0.222	0.000	0.222	0.056
stockholm syndrome	-0.667	-0.260	-0.667	-0.444
stockman	0.515	0.556	0.167	0.515
stockowner	0.242	0.792	0.000	0.242
stocktaking	0.472	0.458	0.048	0.472
stockyard	-0.333	-0.417	-0.333	0.000
stodge	-0.625	-0.292	-0.625	-0.267
stodgily	-0.542	-0.481	-0.542	-0.139
stodginess	-0.619	-0.500	-0.619	0.300
stodgy	-0.542	-0.625	-0.542	0.267
stoical	0.667	0.630	-0.444	0.667
stoically	0.639	0.630	-0.458	0.639
stole	-1.000	-0.232	-1.000	-0.939
stolen	-0.939	-0.384	-0.667	-0.939
stoma	-0.583	-0.583	-0.583	0.000
stomach	0.212	-0.124	0.000	0.212
stomach ache	-0.125	-0.324	-0.125	0.000
stomach flu	-0.476	-0.586	-0.476	-0.030
stomachache	-0.333	-0.368	-0.333	0.061
stomp	-0.556	-0.124	-0.556	-0.133
stomp on	-0.733	-0.148	-0.619	-0.733
stomped	-0.583	-0.188	-0.583	-0.417
stomper	-0.458	0.667	-0.458	-0.364
stone	-0.714	0.122	-0.714	0.014
stone age	-0.286	0.096	-0.286	0.000
stone cold	-1.000	0.028	-1.000	-0.121
stoned	-0.733	-0.250	-0.667	-0.733
stonefish	-0.556	0.296	-0.556	-0.074
stonehearted	-1.000	0.815	-1.000	-0.889
stonemasonry	0.545	0.583	0.000	0.545
